,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Col.,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
1940,70.9,,27.5,57.400000000000006,16.1,-2.5,7.100000000000001,9.600000000000001,,48.0,69.89999999999999,,9.100000000000001,2.5,-1.5,-4.399999999999999,-14.5,15.100000000000001,71.80000000000001,-2.3000000000000043,17.5,6.700000000000003,-0.3999999999999986,3.799999999999997,91.5,4.799999999999997,18.599999999999994,-14.400000000000006,20.200000000000003,6.400000000000006,3.6000000000000014,13.300000000000004,3.6000000000000014,48.0,-10.899999999999999,4.400000000000006,15.199999999999996,8.100000000000001,6.900000000000006,13.5,91.19999999999999,-14.799999999999997,34.9,61.6,24.699999999999996,-9.899999999999999,36.49999999999999,17.6,14.200000000000003,1.8000000000000043,5.899999999999999,9.900000000000006
1944,63.099999999999994,,17.9,40.2,13.5,-6.800000000000004,5.399999999999999,9.100000000000001,,40.599999999999994,64.5,,3.5,3.5,-5.699999999999996,-4.5,-21.0,9.299999999999997,61.199999999999996,-5.0,3.799999999999997,5.799999999999997,1.0,5.5,87.19999999999999,3.0,9.399999999999999,-17.200000000000003,9.200000000000003,4.200000000000003,1.2999999999999972,7.100000000000001,5.0,33.400000000000006,-8.299999999999997,-0.4000000000000057,11.399999999999999,4.899999999999999,2.700000000000003,17.300000000000004,83.19999999999999,-16.599999999999994,21.199999999999996,54.800000000000004,21.0,-14.200000000000003,25.0,14.599999999999994,9.799999999999997,-1.7999999999999972,-2.4000000000000057,7.5
1948,-19.0,,10.0,40.7,0.5,5.399999999999999,-1.6000000000000014,-1.2000000000000028,,15.199999999999996,42.5,,2.700000000000003,0.8999999999999986,-0.8000000000000043,2.6999999999999957,-9.0,15.200000000000003,15.200000000000003,-14.400000000000006,-1.3999999999999986,11.5,-1.6000000000000014,17.300000000000004,7.5,16.6,10.0,-8.400000000000006,3.1000000000000014,-5.699999999999996,-4.399999999999999,13.5,-1.0,25.299999999999997,-8.800000000000004,0.29999999999999716,25.400000000000006,-3.3999999999999986,-4.0,16.200000000000003,20.3,-4.799999999999997,12.200000000000003,40.800000000000004,9.0,-24.6,6.899999999999999,9.899999999999999,15.099999999999994,4.400000000000006,4.300000000000004,4.399999999999999
1952,29.599999999999994,,-16.599999999999994,12.100000000000001,-13.599999999999994,-21.299999999999997,-11.800000000000004,-3.8999999999999986,,-10.0,39.400000000000006,,-31.000000000000007,-9.899999999999999,-17.1,-28.199999999999996,-38.3,0.10000000000000142,5.799999999999997,-32.2,-11.600000000000001,-8.700000000000003,-11.399999999999999,-11.199999999999996,20.799999999999997,-1.6000000000000014,-19.299999999999997,-38.400000000000006,-22.799999999999997,-21.799999999999997,-14.799999999999997,-11.100000000000001,-11.899999999999999,7.799999999999997,-42.6,-13.599999999999994,-9.200000000000003,-21.6,-5.800000000000004,-1.8999999999999986,47.800000000000004,-38.599999999999994,-0.29999999999999716,-6.399999999999999,-17.799999999999997,-43.3,-12.899999999999999,-9.599999999999994,3.799999999999997,-22.299999999999997,-25.6,-10.5
1956,17.1,,-22.1,6.700000000000003,-11.100000000000001,-20.700000000000003,-27.400000000000006,-10.5,,-14.5,33.10000000000001,,-22.400000000000006,-19.200000000000003,-20.199999999999996,-18.4,-31.200000000000003,-9.099999999999994,-13.799999999999997,-41.800000000000004,-20.1,-18.9,-11.5,-7.600000000000001,33.7,0.20000000000000284,-14.200000000000003,-31.0,-16.0,-32.3,-30.5,-16.0,-22.5,1.4000000000000057,-23.6,-22.200000000000003,-10.200000000000003,-10.5,-13.200000000000003,-16.599999999999994,20.2,-16.799999999999997,-0.6000000000000014,-11.299999999999997,-29.199999999999996,-44.400000000000006,-17.0,-8.5,-8.200000000000003,-23.800000000000004,-20.200000000000003,-15.399999999999999
1960,15.099999999999994,-1.7999999999999972,-11.100000000000001,7.100000000000001,-0.5,-9.700000000000003,7.400000000000006,1.6000000000000014,,-3.0,25.1,0.0,-7.599999999999994,0.20000000000000284,-10.399999999999999,-13.5,-21.299999999999997,-7.200000000000003,21.799999999999997,-14.0,7.200000000000003,20.6,2.1000000000000014,1.3999999999999986,11.599999999999998,0.5999999999999943,-2.5,-24.200000000000003,2.4000000000000057,-6.799999999999997,0.7999999999999972,0.8000000000000043,5.200000000000003,4.200000000000003,-10.899999999999999,-6.599999999999994,-18.0,-5.300000000000004,2.3999999999999986,27.200000000000003,2.4000000000000057,-16.400000000000006,-7.100000000000001,2.0,-9.599999999999994,-17.300000000000004,-5.399999999999999,-2.4000000000000057,5.400000000000006,-3.799999999999997,-10.0,0.20000000000000284
1964,-69.5,31.800000000000004,-0.8999999999999986,12.700000000000003,18.300000000000004,23.099999999999994,35.699999999999996,22.1,71.0,2.200000000000003,-8.200000000000003,57.599999999999994,1.7999999999999972,19.0,12.399999999999999,24.0,9.0,28.299999999999997,-13.599999999999994,37.599999999999994,31.0,52.800000000000004,33.6,27.799999999999997,-74.19999999999999,28.0,18.299999999999997,5.200000000000003,17.200000000000003,27.799999999999997,31.699999999999996,18.6,37.3,12.400000000000006,16.1,25.799999999999997,11.400000000000006,27.700000000000003,30.200000000000003,61.800000000000004,-17.799999999999997,11.200000000000003,11.0,26.799999999999997,9.400000000000006,32.599999999999994,7.299999999999997,24.6,35.800000000000004,24.4,13.200000000000003,22.6
1968,4.699999999999999,-2.6999999999999957,-19.799999999999997,-0.40000000000000213,-3.0999999999999943,-9.200000000000003,5.200000000000003,-3.5,63.599999999999994,-9.600000000000001,-3.6999999999999993,21.099999999999994,-26.099999999999998,-2.8999999999999986,-12.299999999999997,-12.200000000000003,-20.099999999999994,-6.199999999999996,4.699999999999999,12.199999999999996,1.7000000000000028,30.1,6.700000000000003,12.5,9.5,-1.1999999999999957,-9.0,-27.999999999999996,-8.200000000000003,-8.200000000000003,-2.1000000000000014,-12.099999999999994,5.400000000000006,-10.3,-17.699999999999996,-2.3000000000000043,-15.700000000000003,-6.0,3.6000000000000014,32.2,-8.5,-11.299999999999997,-9.699999999999996,1.2000000000000028,-25.4,-9.299999999999997,-10.899999999999999,2.1000000000000014,8.800000000000004,-3.6000000000000014,-20.299999999999997,-0.6999999999999957
1972,-46.900000000000006,-23.5,-32.800000000000004,-38.2,-13.5,-28.0,-18.5,-20.4,56.49999999999999,-44.10000000000001,-50.4,-25.0,-38.2,-18.5,-32.8,-17.1,-38.2,-28.6,-36.9,-23.0,-23.9,9.0,-14.400000000000006,-5.5,-58.6,-24.6,-20.1,-41.0,-27.400000000000006,-29.1,-24.800000000000004,-24.5,-17.299999999999997,-40.6,-26.300000000000004,-21.5,-49.7,-10.100000000000001,-20.0,-6.200000000000003,-43.099999999999994,-8.700000000000003,-38.0,-32.900000000000006,-41.199999999999996,-26.200000000000003,-37.699999999999996,-18.299999999999997,-27.200000000000003,-9.699999999999996,-38.5,-23.200000000000003
1976,13.100000000000001,-22.199999999999996,-16.6,30.1,-1.6999999999999957,-11.399999999999999,-5.200000000000003,5.399999999999999,65.1,5.299999999999997,33.7,2.5,-22.5,-2.0,-7.599999999999994,-1.0,-7.600000000000001,7.199999999999996,5.700000000000003,-0.7999999999999972,6.099999999999994,15.700000000000003,-5.399999999999999,12.899999999999999,1.8999999999999986,3.6000000000000014,-7.399999999999999,-20.700000000000003,-4.400000000000006,-11.200000000000003,-2.200000000000003,-2.3999999999999986,4.399999999999999,11.0,-5.800000000000004,0.19999999999999574,-1.2999999999999972,-0.19999999999999574,2.6999999999999957,11.299999999999997,13.100000000000001,-1.5,13.0,3.1000000000000014,-28.799999999999997,-11.299999999999997,-1.2999999999999972,-3.8999999999999986,16.1,1.6000000000000014,-19.5,2.1000000000000014
