STATE,TOTAL VOTES,"(u'LYNDON B. JOHNSON', u'Votes')","(u'LYNDON B. JOHNSON', u'%')","(u'LYNDON B. JOHNSON', u'EV')","(u'BARRY M. GOLDWATER', u'Votes')","(u'BARRY M. GOLDWATER', u'%')","(u'BARRY M. GOLDWATER', u'EV')"
Alabama,"689,818",--,0.0,,"479,085",69.5,10
Alaska,"67,259","44,329",65.9,3,"22,930",34.1,
Arizona,"480,770","237,753",49.5,,"242,535",50.4,5
Arkansas,"560,426","314,197",56.1,6,"243,264",43.4,
California,"7,057,586","4,171,877",59.1,40,"2,879,108",40.8,
Colorado,"776,986","476,024",61.3,6,"296,767",38.2,
Connecticut,"1,218,578","826,269",67.8,8,"390,996",32.1,
Delaware,"201,320","122,704",60.9,3,"78,078",38.8,
Dist. of Col.,"198,597","169,796",85.5,3,"28,801",14.5,
Florida,"1,854,481","948,540",51.1,14,"905,941",48.9,
Georgia,"1,139,335","522,556",45.9,,"616,584",54.1,12
Hawaii,"207,271","163,249",78.8,4,"44,022",21.2,
Idaho,"292,477","148,920",50.9,4,"143,557",49.1,
Illinois,"4,702,841","2,796,833",59.5,26,"1,905,946",40.5,
Indiana,"2,091,606","1,170,848",56.0,13,"911,118",43.6,
Iowa,"1,184,539","733,030",61.9,9,"449,148",37.9,
Kansas,"857,901","464,028",54.1,7,"386,579",45.1,
Kentucky,"1,046,105","669,659",64.0,9,"372,977",35.7,
Louisiana,"896,293","387,068",43.2,,"509,225",56.8,10
Maine,"380,965","262,264",68.8,4,"118,701",31.2,
Maryland,"1,116,457","730,912",65.5,10,"385,495",34.5,
Massachusetts,"2,344,798","1,786,422",76.2,14,"549,727",23.4,
Michigan,"3,203,102","2,136,615",66.7,21,"1,060,152",33.1,
Minnesota,"1,554,462","991,117",63.8,10,"559,624",36.0,
Mississippi,"409,146","52,618",12.9,,"356,528",87.1,7
Missouri,"1,817,879","1,164,344",64.0,12,"653,535",36.0,
Montana,"278,628","164,246",58.9,4,"113,032",40.6,
Nebraska,"584,154","307,307",52.6,5,"276,847",47.4,
Nevada,"135,433","79,339",58.6,3,"56,094",41.4,
New Hampshire,"288,093","184,064",63.9,4,"104,029",36.1,
New Jersey,"2,847,663","1,868,231",65.6,17,"964,174",33.9,
New Mexico,"328,645","194,015",59.0,4,"132,838",40.4,
New York,"7,166,275","4,913,102",68.6,43,"2,243,559",31.3,
North Carolina,"1,424,983","800,139",56.2,13,"624,844",43.8,
North Dakota,"258,389","149,784",58.0,4,"108,207",41.9,
Ohio,"3,969,196","2,498,331",62.9,26,"1,470,865",37.1,
Oklahoma,"932,499","519,834",55.7,8,"412,665",44.3,
Oregon,"786,305","501,017",63.7,6,"282,779",36.0,
Pennsylvania,"4,822,690","3,130,954",64.9,29,"1,673,657",34.7,
Rhode Island,"390,091","315,463",80.9,4,"74,615",19.1,
South Carolina,"524,779","215,723",41.1,,"309,048",58.9,8
South Dakota,"293,118","163,010",55.6,4,"130,108",44.4,
Tennessee,"1,143,946","634,947",55.5,11,"508,965",44.5,
Texas,"2,626,811","1,663,185",63.3,25,"958,566",36.5,
Utah,"401,413","219,628",54.7,4,"181,785",45.3,
Vermont,"163,089","108,127",66.3,3,"54,942",33.7,
Virginia,"1,042,267","558,038",53.5,12,"481,334",46.2,
Washington,"1,258,556","779,881",62.0,9,"470,366",37.4,
West Virginia,"792,040","538,087",67.9,7,"253,953",32.1,
Wisconsin,"1,691,815","1,050,424",62.1,12,"638,495",37.7,
Wyoming,"142,716","80,718",56.6,3,"61,998",43.4,
Totals,"70,644,592","43,129,566",61.1,486,"27,178,188",38.5,52
