STATE,TOTAL VOTES,"(u'RONALD REAGAN\n\nRepublican', u'Votes')","(u'RONALD REAGAN\n\nRepublican', u'%')","(u'RONALD REAGAN\n\nRepublican', u'EV')","(u'JIMMY CARTER\nDemocrat', u'Votes')","(u'JIMMY CARTER\nDemocrat', u'%')","(u'JIMMY CARTER\nDemocrat', u'EV')","(u'JOHN ANDERSON\nIndependent', u'Votes')","(u'JOHN ANDERSON\nIndependent', u'%')","(u'JOHN ANDERSON\nIndependent', u'EV')"
Alabama,"1,341,929","654,192",48.8,9,"636,730",47.4,,"16,481",1.2, 
Alaska,"158,445","86,112",54.3,3,"41,842",26.4,,"11,155",7.0, 
Arizona,"873,945","529,688",60.6,6,"246,843",28.2,,"76,952",8.8, 
Arkansas,"837,582","403,164",48.1,6,"398,041",47.5,,"22,468",2.7, 
California,"8,587,063","4,524,858",52.7,45,"3,083,661",35.9,,"739,833",8.6, 
Colorado,"1,184,415","652,264",55.1,7,"367,973",31.1,,"130,633",11.0, 
Connecticut,"1,406,285","677,210",48.2,8,"541,732",38.5,,"171,807",12.2, 
Delaware,"235,900","111,252",47.2,3,"105,754",44.8,,"16,288",6.9, 
Dist. of Col.,"175,237","23,545",13.4,,"131,113",74.8,3,"16,337",9.3, 
Florida,"3,686,930","2,046,951",55.5,17,"1,419,475",38.5,,"189,692",5.1, 
Georgia,"1,596,695","654,168",41.0,,"890,733",55.8,12,"36,055",2.3, 
Hawaii,"303,287","130,112",42.9,,"135,879",44.8,4,"32,021",10.6, 
Idaho,"437,431","290,699",66.5,4,"110,192",25.2,,"27,058",6.2, 
Illinois,"4,749,721","2,358,049",49.6,26,"1,981,413",41.7,,"346,754",7.3, 
Indiana,"2,242,033","1,255,656",56.0,13,"844,197",37.7,,"111,639",5.0, 
Iowa,"1,317,661","676,026",51.3,8,"508,672",38.6,,"115,633",8.8, 
Kansas,"979,795","566,812",57.9,7,"326,150",33.3,,"68,231",7.0, 
Kentucky,"1,294,627","635,274",49.1,9,"616,417",47.6,,"31,127",2.4, 
Louisiana,"1,548,591","792,853",51.2,10,"708,453",45.7,,"26,345",1.7, 
Maine,"523,011","238,522",45.6,4,"220,974",42.3,,"53,327",10.2, 
Maryland,"1,540,496","680,606",44.2,,"726,161",47.1,10,"119,537",7.8, 
Massachusetts,"2,522,890","1,057,631",41.9,14,"1,053,802",41.7,,"382,539",15.2, 
Michigan,"3,909,725","1,915,225",49.0,21,"1,661,532",42.5,,"275,223",7.0, 
Minnesota,"2,051,980","873,268",42.6,,"954,174",46.5,10,"174,990",8.5, 
Mississippi,"892,620","441,089",49.4,7,"429,281",48.1,,"12,036",1.3, 
Missouri,"2,099,824","1,074,181",51.2,12,"931,182",44.3,,"77,920",3.7, 
Montana,"363,952","206,814",56.8,4,"118,032",32.4,,"29,281",8.0, 
Nebraska,"640,854","419,937",65.5,5,"166,851",26.0,,"44,993",7.0, 
Nevada,"247,885","155,017",62.5,3,"66,666",26.9,,"17,651",7.1, 
New Hampshire,"383,990","221,705",57.7,4,"108,864",28.4,,"49,693",12.9, 
New Jersey,"2,975,684","1,546,557",52.0,17,"1,147,364",38.6,,"234,632",7.9, 
New Mexico,"456,971","250,779",54.9,4,"167,826",36.7,,"29,459",6.4, 
New York,"6,201,959","2,893,831",46.7,41,"2,728,372",44.0,,"467,801",7.5, 
North Carolina,"1,855,833","915,018",49.3,13,"875,635",47.2,,"52,800",2.8, 
North Dakota,"301,545","193,695",64.2,3,"79,189",26.3,,"23,640",7.8, 
Ohio,"4,283,603","2,206,545",51.5,25,"1,752,414",40.9,,"254,472",5.9, 
Oklahoma,"1,149,708","695,570",60.5,8,"402,026",35.0,,"38,284",3.3, 
Oregon,"1,181,516","571,044",48.3,6,"456,890",38.7,,"112,389",9.5, 
Pennsylvania,"4,561,501","2,261,872",49.6,27,"1,937,540",42.5,,"292,921",6.4, 
Rhode Island,"416,072","154,793",37.2,,"198,342",47.7,4,"59,819",14.4, 
South Carolina,"894,071","441,841",49.4,8,"430,385",48.1,,"14,153",1.6, 
South Dakota,"327,703","198,343",60.5,4,"103,855",31.7,,"21,431",6.5, 
Tennessee,"1,617,616","787,761",48.7,10,"783,051",48.4,,"35,991",2.2, 
Texas,"4,541,636","2,510,705",55.3,26,"1,881,147",41.4,,"111,613",2.5, 
Utah,"604,222","439,687",72.8,4,"124,266",20.6,,"30,284",5.0, 
Vermont,"213,299","94,628",44.4,3,"81,952",38.4,,"31,761",14.9, 
Virginia,"1,866,032","989,609",53.0,12,"752,174",40.3,,"95,418",5.1, 
Washington,"1,742,394","865,244",49.7,9,"650,193",37.3,,"185,073",10.6, 
West Virginia,"737,715","334,206",45.3,,"367,462",49.8,6,"31,691",4.3, 
Wisconsin,"2,273,221","1,088,845",47.9,11,"981,584",43.2,,"160,657",7.1, 
Wyoming,"176,713","110,700",62.6,3,"49,427",28.0,,"12,072",6.8, 
Totals,"86,513,813","43,904,153",50.7,489,"35,483,883",41.0,49,"5,720,060",6.6,0
