STATE,TOTAL VOTES,"(u'BILL CLINTON\nDemocratic', u'Votes')","(u'BILL CLINTON\nDemocratic', u'%')","(u'BILL CLINTON\nDemocratic', u'EV')","(u'GEORGE BUSH\nRepublican', u'Votes')","(u'GEORGE BUSH\nRepublican', u'%')","(u'GEORGE BUSH\nRepublican', u'EV')","(u'H. ROSS PEROT\nIndependent', u'Votes')","(u'H. ROSS PEROT\nIndependent', u'%')","(u'H. ROSS PEROT\nIndependent', u'EV')"
Alabama,"1,688,060","690,080",40.9,,"804,283",47.6,9,"183,109",10.8, 
Alaska,"258,506","78,294",30.3,,"102,000",39.5,3,"73,481",28.4, 
Arizona,"1,486,975","543,050",36.5,,"572,086",38.5,8,"353,741",23.8, 
Arkansas,"950,653","505,823",53.2,6,"337,324",35.5,,"99,132",10.4, 
California,"11,131,721","5,121,325",46.0,54,"3,630,574",32.6,,"2,296,006",20.6, 
Colorado,"1,569,180","629,681",40.1,8,"562,850",35.9,,"366,010",23.3, 
Connecticut,"1,616,332","682,318",42.2,8,"578,313",35.8,,"348,771",21.6, 
Delaware,"289,735","126,054",43.5,3,"102,313",35.3,,"59,213",20.4, 
Dist. of Col.,"227,572","192,619",84.6,3,"20,698",9.1,,"9,681",4.3, 
Florida,"5,314,392","2,072,698",39.0,,"2,173,310",40.9,25,"1,053,067",19.8, 
Georgia,"2,321,125","1,008,966",43.5,13,"995,252",42.9,,"309,657",13.3, 
Hawaii,"372,842","179,310",48.1,4,"136,822",36.7,,"53,003",14.2, 
Idaho,"482,142","137,013",28.4,,"202,645",42.0,4,"130,395",27.0, 
Illinois,"5,050,157","2,453,350",48.6,22,"1,734,096",34.3,,"840,515",16.6, 
Indiana,"2,305,871","848,420",36.8,,"989,375",42.9,12,"455,934",19.8, 
Iowa,"1,354,607","586,353",43.3,7,"504,891",37.3,,"253,468",18.7, 
Kansas,"1,157,335","390,434",33.7,,"449,951",38.9,6,"312,358",27.0, 
Kentucky,"1,492,900","665,104",44.6,8,"617,178",41.3,,"203,944",13.7, 
Louisiana,"1,790,017","815,971",45.6,9,"733,386",41.0,,"211,478",11.8, 
Maine,"679,499","263,420",38.8,4,"206,504",30.4,,"206,820",30.4, 
Maryland,"1,985,046","988,571",49.8,10,"707,094",35.6,,"281,414",14.2, 
Massachusetts,"2,773,700","1,318,662",47.5,12,"805,049",29.0,,"630,731",22.7, 
Michigan,"4,274,673","1,871,182",43.8,18,"1,554,940",36.4,,"824,813",19.3, 
Minnesota,"2,347,948","1,020,997",43.5,10,"747,841",31.9,,"562,506",24.0, 
Mississippi,"981,793","400,258",40.8,,"487,793",49.7,7,"85,626",8.7, 
Missouri,"2,391,565","1,053,873",44.1,11,"811,159",33.9,,"518,741",21.7, 
Montana,"410,611","154,507",37.6,3,"144,207",35.1,,"107,225",26.1, 
Nebraska,"737,546","216,864",29.4,,"343,678",46.6,5,"174,104",23.6, 
Nevada,"506,318","189,148",37.4,4,"175,828",34.7,,"132,580",26.2, 
New Hampshire,"537,943","209,040",38.9,4,"202,484",37.6,,"121,337",22.6, 
New Jersey,"3,343,594","1,436,206",43.0,15,"1,356,865",40.6,,"521,829",15.6, 
New Mexico,"569,986","261,617",45.9,5,"212,824",37.3,,"91,895",16.1, 
New York,"6,926,925","3,444,450",49.7,33,"2,346,649",33.9,,"1,090,721",15.7, 
North Carolina,"2,611,850","1,114,042",42.7,,"1,134,661",43.4,14,"357,864",13.7, 
North Dakota,"308,133","99,168",32.2,,"136,244",44.2,3,"71,084",23.1, 
Ohio,"4,939,967","1,984,942",40.2,21,"1,894,310",38.3,,"1,036,426",21.0, 
Oklahoma,"1,390,359","473,066",34.0,,"592,929",42.6,8,"319,878",23.0, 
Oregon,"1,462,643","621,314",42.5,7,"475,757",32.5,,"354,091",24.2, 
Pennsylvania,"4,959,810","2,239,164",45.1,23,"1,791,841",36.1,,"902,667",18.2, 
Rhode Island,"453,477","213,299",47.0,4,"131,601",29.0,,"105,045",23.2, 
South Carolina,"1,202,527","479,514",39.9,,"577,507",48.0,8,"138,872",11.5, 
South Dakota,"336,254","124,888",37.1,,"136,718",40.7,3,"73,295",21.8, 
Tennessee,"1,982,638","933,521",47.1,11,"841,300",42.4,,"199,968",10.1, 
Texas,"6,154,018","2,281,815",37.1,,"2,496,071",40.6,32,"1,354,781",22.0, 
Utah,"743,999","183,429",24.7,,"322,632",43.4,5,"203,400",27.3, 
Vermont,"289,701","133,592",46.1,3,"88,122",30.4,,"65,991",22.8, 
Virginia,"2,558,665","1,038,650",40.6,,"1,150,517",45.0,13,"348,639",13.6, 
Washington,"2,288,230","993,037",43.4,11,"731,234",32.0,,"541,780",23.7, 
West Virginia,"683,762","331,001",48.4,5,"241,974",35.4,,"108,829",15.9, 
Wisconsin,"2,531,114","1,041,066",41.1,11,"930,855",36.8,,"544,479",21.5, 
Wyoming,"200,598","68,160",34.0,,"79,347",39.6,3,"51,263",25.6, 
Totals,"104,425,014","44,909,326",43.0,370,"39,103,882",37.4,168,"19,741,657",18.9,0
