STATE,TOTAL VOTES,"(u'BARACK OBAMA \nDemocrat', u'Votes')","(u'BARACK OBAMA \nDemocrat', u'%')","(u'BARACK OBAMA \nDemocrat', u'EV')","(u'JOHN McCAIN \nRepublican', u'Votes')","(u'JOHN McCAIN \nRepublican', u'%')","(u'JOHN McCAIN \nRepublican', u'EV')"
Alabama,"2,099,819","813,479",38.7%, ,"1,266,546",60.3%,9
Alaska,"326,197","123,594",37.9%, ,"193,841",59.4%,3
Arizona,"2,293,475","1,034,707",45.1%, ,"1,230,111",53.6%,10
Arkansas,"1,086,617","422,310",38.9%, ,"638,017",58.7%,6
California,"13,561,900","8,274,473",61.0%,55,"5,011,781",37.0%, 
Colorado,"2,401,361","1,288,576",53.7%,9,"1,073,589",44.7%, 
Connecticut,"1,646,792","997,772",60.6%,7,"629,428",38.2%, 
Delaware,"412,412","255,459",61.9%,3,"152,374",36.9%, 
Dist. of Col.,"265,853","245,800",92.5%,3,"17,367",6.5%, 
Florida,"8,390,744","4,282,074",51.0%,27,"4,045,624",48.2%, 
Georgia,"3,924,440","1,844,137",47.0%, ,"2,048,744",52.2%,15
Hawaii,"453,568","325,871",71.8%,4,"120,566",26.6%, 
Idaho,"655,032","236,440",36.1%, ,"403,012",61.5%,4
Illinois,"5,523,051","3,419,673",61.9%,21,"2,031,527",36.8%, 
Indiana,"2,751,054","1,374,039",49.9%,11,"1,345,648",48.9%, 
Iowa,"1,543,662","828,940",53.7%,7,"682,379",44.2%, 
Kansas,"1,235,872","514,765",41.7%, ,"699,655",56.6%,6
Kentucky,"1,826,508","751,985",41.2%, ,"1,048,462",57.4%,8
Louisiana,"1,960,761","782,989",39.9%, ,"1,148,275",58.6%,9
Maine,"731,163","421,923",57.7%,2,"295,273",40.4%, 
CD-1,"383,626","232,145",60.5%,1,"144,604",37.7%, 
CD-2,"347,537","189,778",54.6%,1,"150,669",43.4%, 
Maryland,"2,631,596","1,629,467",61.9%,10,"959,862",36.5%, 
Massachusetts,"3,080,985","1,904,097",61.8%,12,"1,108,854",36.0%, 
Michigan,"5,001,766","2,872,579",57.4%,17,"2,048,639",41.0%, 
Minnesota,"2,910,369","1,573,354",54.1%,10,"1,275,409",43.8%, 
Mississippi,"1,289,865","554,662",43.0%, ,"724,597",56.2%,6
Missouri,"2,925,205","1,441,911",49.3%, ,"1,445,814",49.4%,11
Montana,"490,109","231,667",47.3%, ,"242,763",49.5%,3
Nebraska,"801,281","333,319",41.6%, ,"452,979",56.5%,2
CD-1,"273,893","121,411",44.3%, ,"148,179",54.1%,1
CD-2,"277,809","138,809",50.0%,1,"135,439",48.8%, 
CD-3,"246,742","73,099",29.6%, ,"169,361",68.6%,1
Nevada,"967,848","533,736",55.1%,5,"412,827",42.7%, 
New Hampshire,"707,611","384,826",54.4%,4,"316,534",44.7%, 
New Jersey,"3,868,237","2,215,422",57.3%,15,"1,613,207",41.7%, 
New Mexico,"830,158","472,422",56.9%,5,"346,832",41.8%, 
New York,"7,591,233","4,769,700",62.8%,31,"2,742,298",36.1%, 
North Carolina,"4,310,789","2,142,651",49.7%,15,"2,128,474",49.4%, 
North Dakota,"316,621","141,278",44.6%, ,"168,601",53.3%,3
Ohio,"5,698,260","2,933,388",51.5%,20,"2,674,491",46.9%, 
Oklahoma,"1,462,661","502,496",34.4%, ,"960,165",65.6%,7
Oregon,"1,827,864","1,037,291",56.7%,7,"738,475",40.4%, 
Pennsylvania,"6,034,745","3,276,363",54.3%,21,"2,655,885",44.0%, 
Rhode Island,"469,767","296,571",63.1%,4,"165,391",35.2%, 
South Carolina,"1,920,969","862,449",44.9%, ,"1,034,896",53.9%,8
South Dakota,"381,975","170,924",44.7%, ,"203,054",53.2%,3
Tennessee,"2,599,749","1,087,437",41.8%, ,"1,479,178",56.9%,11
Texas,"8,077,795","3,528,633",43.7%, ,"4,479,328",55.5%,34
Utah,"952,370","327,670",34.4%, ,"596,030",62.6%,5
Vermont,"325,046","219,262",67.5%,3,"98,974",30.4%, 
Virginia,"3,723,260","1,959,532",52.6%,13,"1,725,005",46.3%, 
Washington,"3,036,878","1,750,848",57.7%,11,"1,229,216",40.5%, 
West Virginia,"713,362","303,857",42.6%, ,"397,466",55.7%,5
Wisconsin,"2,983,417","1,677,211",56.2%,10,"1,262,393",42.3%, 
Wyoming,"256,035","82,868",32.4%, ,"164,958",64.4%,3
Totals,"131,278,107 ","69,456,897",52.9%,365,"59,934,814",45.7%,173
